"Species","CommonName_new","Status","Locality"
"australis"," Southern Right Whale","Endangered","Argentina, Buenos Aires Prov."
"brasiliensis"," Giant Otter","Endangered","Brazil, Minas Gerais."
"torquatus"," White-Collared Mangabey","Endangered","Brazil, S provinces, and banks of Uruguay River. See Moojen (1952:188)."
"torquatus"," Brazilian Three-Toed Sloth","Endangered","Brazil, S provinces, and banks of Uruguay River. See Moojen (1952:188)."
"pictus"," African Wild Dog","Endangered","Brazil, Bahia."
"brasiliensis"," Giant Otter","Endangered","Brazil, Minas Gerais, cave (Lapa das Quatro Bocas) near Lagos Santa."
"hispidus"," Hispid Hare","Endangered","Brazil, Amap (see comments)."
"cuvieri"," Mountain (=Cuvier'S) Gazelle","Endangered","French Guiana, Saul."
"goeldii"," Goeldi'S Marmoset","Endangered","Brazil, Par, Santarem."
"angelcabrerai"," Cabrera'S Hutia","Endangered","Cuba, Ciego de Avila Prov., Cayos de Ana Maria (21<sup>o</sup>30N, 78<sup>o</sup>40W)."
"auritus"," Large-Eared Hutia","Endangered","Cuba, Las Villas Prov., Archipilago de Sabana, Cayo Fragoso (22<sup>o</sup>41N, 79<sup>o</sup>27W)."
"sanfelipensis"," Little Earth Hutia","Endangered","Cuba, Pinar del Rio Prov., Archipilago de los Canarreos, Cayo Juan Garcia (21<sup>o</sup>59N, 83<sup>o</sup>31W)."
"erythrotis"," Red-Eared Nose-Spotted Monkey","Endangered","Not specified; restricted by Allen (1938:535) to ""Burchan-Budda"", East Tibet, China."
"idahoensis"," Columbia Basin Pygmy [Columbia Basin Dps] Rabbit","Endangered","""Pahsimeroi Valley [near Goldburg, Custer County], Idaho."" [USA]."
"hispidus"," Hispid Hare","Endangered","""...Assam, ...base of the Boutan [Bhutan] mountains"" [India]."
"brachyurus","Quokka","Endangered","""...tout l'Empire mais surtout dans l'le de Jezo"", Nagasaki, Kyushu, Japan."
"brachyurus"," Maned Wolf","Endangered","""...tout l'Empire mais surtout dans l'le de Jezo"", Nagasaki, Kyushu, Japan."
"furnessi"," Ryukyu Rabbit","Endangered","""Liu Kiu Islands"" [Amami-Oshima, Ryukyu Isls, Japan]."
"diazi"," Volcano Rabbit","Endangered","""near San Martn Texmelusn, northeastern slope of Volcn Iztacchuatl [Ixtacchuatl, Puebla], Mexico."""
"brasiliensis"," Giant Otter","Endangered","""in America meridionali""; type locality restricted by Thomas (1911<i>a</i>), to Pernambuco, Brazil."
"floridanus"," Florida Bonneted Bat","Endangered","""Sebastian River, Brevard Co.,"" [Florida, USA]."
"robustus"," Gray [Western North Pacific Dps] Whale","Endangered","""...from Davis Mountains, Texas, 6,000 feet altitude."" [USA; 1829 m]"
"concolor"," Pagi Island Langur","Endangered","Turkey, near Trabzon."
"auritus"," Large-Eared Hutia","Endangered","S Russia, ""in regione Astrachanensi"", (= Astrakhan, 4621'N, 4803'E)."
"parvus"," Mountain Pygmy Possum","Endangered","Indonesia, W Sumatra, Mt. Kerinchi."
"cubanus"," Cuban Solenodon","Endangered","Cuba, Oriente Prov., Bayamo."
